tick_L,tick_U,price_L,price_U,L_active
-887270,-667780,2.9395446283653923e-27,1.0003064211954249e-17,4147515132603498
-667780,-414490,1.0003064211954249e-17,9.996040641477101e-07,4147581354641010
-414490,-317650,9.996040641477101e-07,0.01604447476712992,4148698615631358
-317650,-317420,0.01604447476712992,0.0164177552946428,4182499382473842
-317420,-316830,0.0164177552946428,0.017415496952720634,4185180495041852
-316830,-312540,0.017415496952720634,0.02674477135151953,4199597029495668
-312540,-312310,0.02674477135151953,0.027366998161882875,4165796262653184
-312310,-311720,0.027366998161882875,0.02903014843015127,4163115150085174
-311720,-278550,0.02903014843015127,0.8004459837895115,4148698615631358
-278550,-273440,0.8004459837895115,1.3342752022989446,4154458295426157
-273440,-269390,1.3342752022989446,2.0004416399175513,4148698615631358
-269390,-262460,2.0004416399175513,4.000155872362714,4310671999423115
-262460,-260220,4.000155872362714,5.004423038993529,4311872570585087
-260220,-258200,5.004423038993529,6.124591313457656,4836328809950599
-258200,-253290,6.124591313457656,10.007026352461997,4837606439605616
-253290,-253240,10.007026352461997,10.057184266665509,6019484645646007
-253240,-252340,10.057184266665509,11.004262875076625,6022011842355213
-252340,-247660,11.004262875076625,17.571167234692652,6532791130273708
-247660,-247510,17.571167234692652,17.836708043839856,6558535315573316
-247510,-247390,17.836708043839856,18.052027105267474,6616406369914204
-247390,-247250,18.052027105267474,18.306520054453326,8003707263972794
-247250,-247040,18.306520054453326,18.69500233989814,8135130959449762
-247040,-247020,18.69500233989814,18.732427886403737,8182847813825643
-247020,-246940,18.732427886403737,18.88288079623963,8184524918448460
-246940,-246870,18.88288079623963,19.015518018767064,8185361614274421
-246870,-246860,19.015518018767064,19.0345420960512,8207045189217524
-246860,-246320,19.0345420960512,20.090611850345425,8224309362045874
-246320,-246190,20.090611850345425,20.353481612699152,8226395523563808
-246190,-246010,20.353481612699152,20.723142769087076,8226412905698182
-246010,-246000,20.723142769087076,20.74387523975762,8229920991641446
-246000,-245630,20.74387523975762,21.525734741442385,8243461313158961
-245630,-245570,21.525734741442385,21.655270893057438,8243513675966240
-245570,-245530,21.655270893057438,21.74206110189475,8259512867164070
-245530,-245450,21.74206110189475,21.916686429612362,8259962852887926
-245450,-245410,21.916686429612362,22.004524342222258,8259987244507526
-245410,-245320,22.004524342222258,22.203448933225918,8261529582135872
-245320,-245300,22.203448933225918,22.247898042968032,8289354410519295
-245300,-245230,22.247898042968032,22.404171835899064,8289994023823982
-245230,-245070,22.404171835899064,22.765503464028342,8329712105082350
-245070,-244970,22.765503464028342,22.99428908121601,8330441629574527
-244970,-244760,22.99428908121601,23.48225041673354,8341060554257852
-244760,-244670,23.48225041673354,23.694533899318582,8343225935942694
-244670,-244660,23.694533899318582,23.718239098601995,8414003462038884
-244660,-244630,23.718239098601995,23.789497086598956,8467409127027588
-244630,-244580,23.789497086598956,23.90873646019377,8467508038824737
-244580,-244540,23.90873646019377,24.004558130615898,8834486027365873
-244540,-244130,24.004558130615898,25.009148165682298,12612234321915363
-244130,-244120,25.009148165682298,25.034168570966276,15395487170918225
-244120,-244090,25.034168570966276,25.109380077019818,15729809256158397
-244090,-244020,25.109380077019818,25.28575350588057,15730131167097203
-244020,-244000,25.28575350588057,25.336373084662,17195288438632844
-244000,-243880,25.336373084662,25.642225715044294,17205212867514723
-243880,-243840,25.642225715044294,25.744994880844736,17269211617352037
-243840,-243740,25.744994880844736,26.003723379980038,17601200149739424
-243740,-243670,26.003723379980038,26.18637885939074,17904989328156497
-243670,-243640,26.18637885939074,26.26505201310544,17925189522989569
-243640,-243630,26.26505201310544,26.291328887544307,17929404801303186
-243630,-243610,26.291328887544307,26.343961528829134,17932130334029814
-243610,-243590,26.343961528829134,26.396699535458577,18071615576987694
-243590,-243570,26.396699535458577,26.449543118363632,18071628260028351
-243570,-243560,26.449543118363632,26.4760045669509,18104840971613029
-243560,-243530,26.4760045669509,26.555547858836782,18108337782535972
-243530,-243510,26.555547858836782,26.608709440381578,18109275242209075
-243510,-243490,26.608709440381578,26.661977446157096,18196712878398981
